Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
1/29/2020,14:32:15,966,284,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:16,167,285,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:16,369,286,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:16,565,287,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:16,773,288,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:16,966,289,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:17,165,290,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:17,364,291,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:17,565,292,79,80,76,77,79,79,76,76,82,77,77,80
1/29/2020,14:32:17,765,293,79,79,76,77,79,79,75,76,81,77,78,79
1/29/2020,14:32:17,965,294,79,80,77,78,79,80,77,76,82,77,78,80
1/29/2020,14:32:18,166,295,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:18,366,296,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:18,565,297,80,80,77,78,80,80,77,77,82,77,78,80
1/29/2020,14:32:18,766,298,79,80,75,77,81,80,77,77,82,77,78,80
1/29/2020,14:32:18,965,299,80,80,76,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:19,165,300,80,80,76,107,80,80,77,77,82,77,78,80
1/29/2020,14:32:19,368,301,80,80,77,144,80,80,78,77,82,77,78,80
1/29/2020,14:32:19,566,302,80,131,77,98,80,80,79,77,83,78,78,80
1/29/2020,14:32:19,764,303,79,157,76,78,79,79,77,77,82,77,78,80
1/29/2020,14:32:19,966,304,79,135,91,77,78,79,77,76,82,77,78,79
1/29/2020,14:32:20,166,305,80,109,111,78,78,79,76,77,82,77,78,80
1/29/2020,14:32:20,368,306,80,80,113,78,79,79,76,77,82,77,78,80
1/29/2020,14:32:20,565,307,80,80,135,78,80,80,76,76,82,77,78,80
1/29/2020,14:32:20,758,308,80,80,127,79,80,80,77,77,82,77,78,80
1/29/2020,14:32:20,966,309,80,80,78,89,80,80,77,77,82,77,78,80
1/29/2020,14:32:21,168,310,80,80,88,126,80,80,77,77,82,77,78,80
1/29/2020,14:32:21,365,311,79,80,137,101,80,80,77,77,82,77,78,80
1/29/2020,14:32:21,566,312,80,80,118,95,80,80,77,77,82,77,78,80
1/29/2020,14:32:21,756,313,79,80,78,113,80,80,77,77,82,77,78,80
1/29/2020,14:32:21,965,314,79,80,78,121,79,80,77,77,82,77,78,80
1/29/2020,14:32:22,167,315,80,80,78,118,79,80,77,77,82,77,78,80
1/29/2020,14:32:22,366,316,80,80,78,123,79,80,77,77,82,77,78,80
1/29/2020,14:32:22,565,317,80,80,78,130,80,80,77,77,82,77,78,80
1/29/2020,14:32:22,765,318,80,80,78,121,80,80,77,77,82,77,78,80
1/29/2020,14:32:22,956,319,80,80,78,108,80,80,77,77,82,77,78,80
1/29/2020,14:32:23,165,320,80,80,78,79,80,79,77,77,82,77,78,80
1/29/2020,14:32:23,365,321,80,80,78,79,80,79,77,77,82,77,78,80
1/29/2020,14:32:23,565,322,80,91,78,79,80,80,77,77,82,77,78,80
1/29/2020,14:32:23,769,323,80,134,78,79,79,80,77,77,82,77,78,80
1/29/2020,14:32:23,966,324,80,109,78,79,79,80,77,77,82,77,78,80
1/29/2020,14:32:24,156,325,80,112,78,79,80,80,77,77,82,77,78,80
1/29/2020,14:32:24,365,326,79,156,78,79,80,80,77,77,82,77,78,80
1/29/2020,14:32:24,566,327,80,87,78,78,80,80,77,77,82,77,78,80
1/29/2020,14:32:24,764,328,80,80,78,78,80,80,77,77,82,77,78,80
1/29/2020,14:32:24,965,329,80,80,78,78,80,80,77,77,82,77,78,80
1/29/2020,14:32:25,162,330,80,80,78,78,80,80,77,77,82,77,78,80
1/29/2020,14:32:25,363,331,80,80,78,78,79,80,77,77,82,77,78,80
1/29/2020,14:32:25,566,332,80,80,78,78,79,80,77,77,82,77,78,80
1/29/2020,14:32:25,765,333,80,108,78,78,79,80,77,77,82,77,78,80
1/29/2020,14:32:25,965,334,80,93,78,78,80,80,77,77,82,77,78,80
1/29/2020,14:32:26,165,335,80,80,78,78,80,80,77,77,82,77,78,80
